,tweet_id,retweet_count,favorite_count
0,892420643555336193,7121,34301
1,892177421306343426,5366,29742
2,891815181378084864,3530,22381
3,891689557279858688,7324,37488
4,891327558926688256,7872,35805
5,891087950875897856,2646,18078
6,890971913173991426,1694,10527
7,890729181411237888,16013,57688
8,890609185150312448,3669,24891
9,890240255349198849,6185,28379
10,890006608113172480,6239,27397
11,889880896479866881,4225,24922
12,889665388333682689,8478,42688
13,889638837579907072,3772,24006
14,889531135344209921,1905,13543
15,889278841981685760,4507,22443
16,888917238123831296,3817,26004
17,888804989199671297,3595,22801
18,888554962724278272,2918,17596
19,888078434458587136,2945,19429
20,887705289381826560,4590,27007
21,887517139158093824,9977,41346
22,887473957103951883,15236,61070
23,887343217045368832,8937,30017
24,887101392804085760,5062,27375
25,886983233522544640,6440,30833
26,886736880519319552,2675,10641
27,886680336477933568,3797,20039
28,886366144734445568,2674,18827
29,886267009285017600,3,104
30,886258384151887873,5363,24915
31,886054160059072513,93,0
32,885984800019947520,5699,29020
33,885528943205470208,5415,32039
34,885518971528720385,3161,18266
35,885311592912609280,15680,0
36,885167619883638784,3712,19516
37,884925521741709313,15255,68313
38,884876753390489601,4728,24757
39,884562892145688576,3969,21640
40,884441805382717440,4853,24216
41,884247878851493888,17156,64262
42,884162670584377345,2526,18199
43,883838122936631299,2904,19477
44,883482846933004288,8382,40824
45,883360690899218434,3121,20232
46,883117836046086144,5614,33013
47,882992080364220416,3280,21286
48,882762694511734784,4146,25152
49,882627270321602560,5147,24977
50,882268110199369728,9803,39765
51,882045870035918850,4134,26139
52,881906580714921986,2893,21754
53,881666595344535552,9082,45213
54,881633300179243008,8,113
55,881536004380872706,13602,44065
56,881268444196462592,4543,20794
57,880935762899988482,2369,15278
58,880872448815771648,3249,19009
59,880465832366813184,5292,25369
60,880221127280381952,3528,24025
61,880095782870896641,3706,24696
62,879862464715927552,2966,19990
63,879674319642796034,9,283
64,879492040517615616,2667,21026
65,879415818425184262,38019,94207
66,879376492567855104,2679,15058
67,879130579576475649,5815,0
68,879050749262655488,4009,20116
69,879008229531029506,2279,17038
70,878776093423087618,3493,17387
71,878604707211726852,6009,26827
72,878404777348136964,1087,0
73,878316110768087041,5616,0
74,878281511006478336,1087,6895
75,878057613040115712,5815,37671
76,877736472329191424,16053,70379
77,877611172832227328,70,0
78,877556246731214848,3214,20246
79,877316821321428993,4417,24533
80,877201837425926144,4701,24180
